year,month,average_month_temperature
1946,04,27.954
1946,05,29.982
1946,06,28.761
1946,07,26.820
1946,08,26.226
1946,09,26.131
1946,10,24.723
1946,11,20.715
1946,12,17.828
1947,01,16.909
1947,02,19.530
1947,03,24.310
1947,04,28.137
1947,05,30.728
1947,06,30.229
1947,07,27.136
1947,08,26.753
1947,09,25.847
1947,10,23.593
1947,11,20.957
1947,12,17.689
1948,01,17.337
1948,02,19.301
1948,03,23.504
1948,04,28.304
1948,05,30.797
1948,06,29.816
1948,07,27.041
1948,08,26.210
1948,09,26.026
1948,10,24.699
1948,11,20.934
1948,12,16.834
1949,01,17.710
1949,02,19.203
1949,03,24.226
1949,04,28.016
1949,05,30.142
1949,06,29.101
1949,07,26.862
1949,08,26.408
1949,09,26.280
1949,10,24.580
1949,11,19.611
1949,12,16.790
1950,01,17.351
1950,02,18.273
1950,03,22.932
1950,04,27.171
1950,05,30.371
1950,06,29.324
1950,07,26.632
1950,08,26.219
1950,09,25.805
1950,10,23.859
1950,11,19.771
1950,12,16.608
1951,01,16.396
1951,02,19.228
1951,03,23.767
1951,04,26.379
1951,05,29.947
1951,06,29.233
1951,07,27.488
1951,08,26.559
1951,09,26.811
1951,10,26.054
1951,11,21.681
1951,12,17.495
1952,01,17.684
1952,02,20.673
1952,03,23.365
1952,04,28.401
1952,05,30.518
1952,06,29.418
1952,07,27.079
1952,08,26.115
1952,09,26.399
1952,10,24.698
1952,11,20.471
1952,12,17.926
1953,01,16.805
1953,02,20.791
1953,03,25.877
1953,04,28.086
1953,05,30.787
1953,06,29.954
1953,07,26.901
1953,08,26.264
1953,09,26.179
1953,10,24.289
1953,11,20.525
1953,12,18.409
1954,01,16.443
1954,02,20.529
1954,03,24.099
1954,04,28.450
1954,05,30.996
1954,06,29.404
1954,07,26.893
1954,08,26.578
1954,09,25.892
1954,10,23.202
1954,11,20.109
1954,12,17.365
1955,01,17.049
1955,02,19.983
1955,03,24.911
1955,04,26.647
1955,05,29.586
1955,06,29.166
1955,07,26.967
1955,08,26.003
1955,09,26.005
1955,10,23.904
1955,11,19.915
1955,12,17.117
1956,01,17.013
1956,02,19.198
1956,03,24.371
1956,04,28.295
1956,05,30.427
1956,06,28.146
1956,07,25.983
1956,08,25.873
1956,09,26.010
1956,10,23.679
1956,11,20.167
1956,12,17.480
1957,01,17.052
1957,02,18.514
1957,03,22.685
1957,04,27.067
1957,05,29.712
1957,06,29.520
1957,07,26.912
1957,08,26.329
1957,09,26.088
1957,10,24.465
1957,11,21.170
1957,12,17.884
1958,01,18.043
1958,02,19.706
1958,03,24.495
1958,04,28.610
1958,05,30.370
1958,06,30.530
1958,07,26.880
1958,08,26.412
1958,09,25.908
1958,10,24.304
1958,11,20.955
1958,12,17.755
1959,01,17.438
1959,02,19.396
1959,03,24.497
1959,04,28.117
1959,05,30.386
1959,06,29.430
1959,07,26.660
1959,08,26.226
1959,09,26.030
1959,10,24.645
1959,11,20.722
1959,12,17.789
1960,01,16.887
1960,02,20.880
1960,03,23.223
1960,04,27.514
1960,05,30.227
1960,06,29.562
1960,07,27.080
1960,08,26.490
1960,09,26.542
1960,10,24.428
1960,11,20.378
1960,12,18.212
1961,01,17.557
1961,02,18.373
1961,03,24.631
1961,04,27.784
1961,05,29.985
1961,06,28.667
1961,07,26.619
1961,08,26.332
1961,09,25.844
1961,10,23.796
1961,11,19.839
1961,12,15.893
1962,01,15.691
1962,02,19.510
1962,03,23.545
1962,04,27.650
1962,05,29.705
1962,06,29.236
1962,07,27.149
1962,08,26.200
1962,09,25.760
1962,10,23.567
1962,11,20.324
1962,12,17.220
1963,01,16.451
1963,02,20.313
1963,03,23.658
1963,04,26.989
1963,05,29.477
1963,06,29.042
1963,07,27.364
1963,08,26.269
1963,09,26.194
1963,10,24.686
1963,11,21.534
1963,12,17.838
1964,01,16.495
1964,02,19.618
1964,03,25.003
1964,04,28.386
1964,05,29.830
1964,06,29.331
1964,07,26.534
1964,08,26.250
1964,09,25.925
1964,10,24.640
1964,11,20.225
1964,12,17.180
1965,01,17.817
1965,02,19.464
1965,03,23.191
1965,04,26.629
1965,05,29.643
1965,06,29.890
1965,07,27.005
1965,08,26.484
1965,09,26.184
1965,10,25.023
1965,11,21.416
1965,12,17.565
1966,01,17.478
1966,02,21.083
1966,03,24.010
1966,04,27.908
1966,05,30.154
1966,06,29.277
1966,07,27.748
1966,08,26.536
1966,09,26.147
1966,10,24.774
1966,11,21.591
1966,12,17.262
1967,01,16.653
1967,02,20.548
1967,03,23.050
1967,04,27.026
1967,05,29.941
1967,06,29.614
1967,07,27.038
1967,08,26.069
1967,09,25.999
1967,10,24.181
1967,11,20.659
1967,12,18.205
1968,01,16.432
1968,02,18.769
1968,03,23.551
1968,04,27.017
1968,05,29.688
1968,06,29.417
1968,07,27.022
1968,08,26.395
1968,09,26.845
1968,10,24.147
1968,11,20.864
1968,12,17.616
1969,01,17.121
1969,02,20.262
1969,03,25.553
1969,04,28.363
1969,05,29.847
1969,06,29.944
1969,07,27.198
1969,08,26.378
1969,09,26.138
1969,10,24.829
1969,11,21.952
1969,12,17.887
1970,01,17.404
1970,02,19.758
1970,03,23.876
1970,04,28.395
1970,05,30.608
1970,06,28.354
1970,07,27.172
1970,08,26.329
1970,09,26.038
1970,10,24.682
1970,11,20.281
1970,12,16.886
1971,01,16.685
1971,02,19.466
1971,03,23.508
1971,04,27.682
1971,05,28.986
1971,06,27.637
1971,07,26.480
1971,08,25.944
1971,09,26.180
1971,10,24.110
1971,11,20.101
1971,12,17.046
1972,01,16.995
1972,02,18.145
1972,03,24.437
1972,04,27.269
1972,05,30.345
1972,06,30.283
1972,07,27.566
1972,08,26.539
1972,09,26.194
1972,10,24.488
1972,11,21.046
1972,12,18.213
1973,01,17.579
1973,02,20.853
1973,03,24.335
1973,04,29.266
1973,05,30.763
1973,06,29.284
1973,07,26.968
1973,08,26.067
1973,09,25.992
1973,10,24.233
1973,11,20.447
1973,12,16.975
1974,01,16.694
1974,02,19.294
1974,03,24.998
1974,04,28.523
1974,05,29.718
1974,06,29.046
1974,07,26.940
1974,08,26.439
1974,09,26.584
1974,10,24.724
1974,11,20.386
1974,12,16.596
1975,01,16.220
1975,02,19.449
1975,03,23.825
1975,04,28.438
1975,05,30.543
1975,06,28.905
1975,07,26.379
1975,08,26.213
1975,09,25.578
1975,10,24.675
1975,11,19.533
1975,12,16.785
1976,01,16.858
1976,02,19.726
1976,03,24.171
1976,04,27.294
1976,05,29.795
1976,06,28.541
1976,07,26.900
1976,08,25.787
1976,09,25.925
1976,10,25.148
1976,11,22.453
1976,12,18.319
1977,01,17.076
1977,02,20.249
1977,03,25.488
1977,04,27.527
1977,05,28.943
1977,06,28.772
1977,07,26.532
1977,08,26.225
1977,09,25.950
1977,10,24.675
1977,11,22.303
1977,12,17.944
1978,01,16.667
1978,02,19.128
1978,03,22.900
1978,04,27.662
1978,05,30.931
1978,06,28.680
1978,07,26.268
1978,08,25.941
1978,09,25.825
1978,10,24.649
1978,11,21.652
1978,12,17.652
1979,01,17.762
1979,02,19.116
1979,03,23.309
1979,04,28.235
1979,05,29.738
1979,06,30.000
1979,07,27.357
1979,08,26.551
1979,09,26.468
1979,10,25.193
1979,11,22.434
1979,12,18.268
1980,01,17.557
1980,02,20.478
1980,03,24.071
1980,04,28.990
1980,05,31.103
1980,06,28.618
1980,07,26.818
1980,08,26.303
1980,09,26.564
1980,10,25.111
1980,11,21.565
1980,12,18.017
1981,01,17.085
1981,02,20.301
1981,03,23.606
1981,04,27.825
1981,05,30.043
1981,06,29.675
1981,07,26.764
1981,08,26.367
1981,09,26.322
1981,10,24.621
1981,11,20.324
1981,12,17.392
1982,01,17.724
1982,02,19.337
1982,03,22.972
1982,04,27.158
1982,05,29.120
1982,06,29.326
1982,07,27.792
1982,08,26.389
1982,09,26.420
1982,10,24.927
1982,11,20.977
1982,12,18.046
1983,01,16.787
1983,02,19.116
1983,03,23.632
1983,04,26.488
1983,05,29.644
1983,06,29.748
1983,07,27.419
1983,08,26.619
1983,09,26.258
1983,10,24.066
1983,11,20.174
1983,12,17.302
1984,01,16.948
1984,02,18.601
1984,03,24.858
1984,04,28.069
1984,05,31.252
1984,06,29.006
1984,07,26.657
1984,08,26.133
1984,09,25.657
1984,10,24.406
1984,11,20.332
1984,12,18.032
1985,01,17.578
1985,02,20.008
1985,03,25.605
1985,04,28.273
1985,05,30.561
1985,06,29.115
1985,07,26.626
1985,08,26.346
1985,09,26.330
1985,10,23.798
1985,11,20.824
1985,12,18.491
1986,01,17.169
1986,02,19.559
1986,03,24.117
1986,04,27.870
1986,05,29.625
1986,06,29.391
1986,07,26.898
1986,08,26.360
1986,09,26.555
1986,10,24.716
1986,11,21.679
1986,12,17.676
1987,01,17.575
1987,02,20.313
1987,03,24.216
1987,04,28.140
1987,05,29.266
1987,06,30.117
1987,07,28.092
1987,08,27.244
1987,09,27.291
1987,10,25.124
1987,11,21.505
1987,12,17.883
1988,01,18.151
1988,02,20.980
1988,03,24.441
1988,04,28.366
1988,05,31.326
1988,06,29.364
1988,07,26.805
1988,08,26.455
1988,09,26.751
1988,10,24.518
1988,11,20.779
1988,12,18.207
1989,01,16.551
1989,02,19.441
1989,03,23.550
1989,04,27.570
1989,05,30.563
1989,06,28.486
1989,07,26.926
1989,08,26.236
1989,09,26.329
1989,10,24.803
1989,11,21.281
1989,12,17.451
1990,01,18.538
1990,02,19.908
1990,03,22.943
1990,04,27.569
1990,05,29.149
1990,06,28.839
1990,07,26.438
1990,08,26.476
1990,09,26.085
1990,10,23.965
1990,11,21.522
1990,12,17.974
1991,01,16.872
1991,02,20.426
1991,03,24.524
1991,04,27.456
1991,05,30.407
1991,06,28.939
1991,07,27.504
1991,08,26.199
1991,09,26.429
1991,10,24.368
1991,11,20.599
1991,12,17.508
1992,01,17.000
1992,02,18.981
1992,03,24.285
1992,04,27.779
1992,05,29.729
1992,06,29.952
1992,07,27.373
1992,08,26.216
1992,09,26.014
1992,10,24.370
1992,11,21.056
1992,12,17.724
1993,01,17.371
1993,02,20.339
1993,03,23.158
1993,04,27.640
1993,05,30.537
1993,06,29.467
1993,07,27.212
1993,08,26.779
1993,09,25.967
1993,10,24.800
1993,11,21.347
1993,12,17.719
1994,01,18.066
1994,02,19.454
1994,03,25.176
1994,04,27.131
1994,05,30.764
1994,06,29.022
1994,07,26.454
1994,08,26.076
1994,09,26.045
1994,10,24.268
1994,11,20.983
1994,12,17.532
1995,01,16.205
1995,02,19.788
1995,03,23.453
1995,04,27.675
1995,05,30.291
1995,06,30.644
1995,07,27.218
1995,08,26.638
1995,09,26.525
1995,10,25.056
1995,11,21.225
1995,12,18.236
1996,01,17.690
1996,02,20.256
1996,03,25.183
1996,04,27.812
1996,05,30.518
1996,06,29.115
1996,07,27.246
1996,08,26.027
1996,09,26.403
1996,10,24.225
1996,11,21.009
1996,12,17.485
1997,01,16.683
1997,02,19.290
1997,03,24.223
1997,04,26.383
1997,05,29.542
1997,06,29.053
1997,07,27.419
1997,08,26.688
1997,09,26.412
1997,10,23.885
1997,11,21.630
1997,12,17.539
1998,01,17.502
1998,02,20.142
1998,03,23.372
1998,04,28.324
1998,05,31.295
1998,06,30.194
1998,07,27.492
1998,08,27.075
1998,09,26.707
1998,10,25.168
1998,11,21.844
1998,12,17.996
1999,01,17.003
1999,02,21.074
1999,03,25.078
1999,04,29.224
1999,05,29.966
1999,06,28.690
1999,07,27.233
1999,08,26.593
1999,09,26.428
1999,10,24.771
1999,11,21.744
1999,12,17.972
2000,01,17.832
2000,02,19.080
2000,03,23.668
2000,04,28.947
2000,05,30.130
2000,06,28.522
2000,07,26.927
2000,08,26.822
2000,09,26.453
2000,10,25.594
2000,11,22.050
2000,12,18.107
2001,01,17.278
2001,02,20.837
2001,03,24.459
2001,04,27.644
2001,05,30.471
2001,06,28.084
2001,07,26.941
2001,08,26.794
2001,09,27.157
2001,10,25.239
2001,11,22.048
2001,12,18.473
2002,01,17.485
2002,02,20.321
2002,03,24.883
2002,04,28.726
2002,05,31.001
2002,06,29.388
2002,07,28.519
2002,08,26.686
2002,09,26.494
2002,10,25.285
2002,11,21.726
2002,12,18.989
2003,01,17.285
2003,02,20.662
2003,03,24.218
2003,04,28.708
2003,05,30.723
2003,06,30.055
2003,07,27.196
2003,08,26.751
2003,09,26.302
2003,10,24.705
2003,11,21.707
2003,12,18.083
2004,01,17.267
2004,02,20.240
2004,03,26.045
2004,04,28.738
2004,05,30.107
2004,06,28.806
2004,07,27.528
2004,08,26.601
2004,09,26.874
2004,10,24.111
2004,11,21.579
2004,12,18.557
2005,01,17.486
2005,02,20.390
2005,03,24.869
2005,04,27.711
2005,05,30.132
2005,06,30.586
2005,07,27.093
2005,08,26.984
2005,09,26.633
2005,10,24.687
2005,11,20.983
2005,12,17.672
2006,01,17.717
2006,02,22.290
2006,03,24.092
2006,04,28.122
2006,05,30.364
2006,06,29.175
2006,07,27.395
2006,08,26.574
2006,09,26.665
2006,10,25.401
2006,11,21.917
2006,12,18.614
2007,01,17.890
2007,02,20.353
2007,03,24.114
2007,04,28.807
2007,05,30.478
2007,06,29.343
2007,07,27.409
2007,08,26.888
2007,09,26.653
2007,10,24.709
2007,11,21.739
2007,12,18.295
2008,01,17.306
2008,02,18.901
2008,03,24.911
2008,04,27.862
2008,05,30.162
2008,06,28.120
2008,07,27.210
2008,08,26.539
2008,09,26.537
2008,10,25.275
2008,11,21.836
2008,12,19.362
2009,01,18.775
2009,02,21.554
2009,03,25.115
2009,04,28.653
2009,05,30.581
2009,06,30.480
2009,07,27.662
2009,08,27.451
2009,09,27.273
2009,10,24.915
2009,11,21.578
2009,12,18.757
2010,01,17.247
2010,02,20.812
2010,03,26.430
2010,04,29.891
2010,05,31.238
2010,06,29.977
2010,07,27.422
2010,08,26.960
2010,09,26.429
2010,10,25.390
2010,11,22.404
2010,12,17.616
2011,01,16.625
2011,02,20.170
2011,03,24.663
2011,04,27.358
2011,05,30.562
2011,06,28.768
2011,07,27.312
2011,08,26.689
2011,09,26.474
2011,10,25.273
2011,11,22.171
2011,12,18.351
2012,01,16.840
2012,02,19.855
2012,03,24.406
2012,04,28.167
2012,05,30.910
2012,06,30.429
2012,07,27.571
2012,08,26.675
2012,09,26.494
2012,10,24.650
2012,11,21.160
2012,12,18.488
2013,01,17.116
2013,02,20.273
2013,03,24.753
2013,04,28.025
2013,05,31.039
2013,06,28.547
2013,07,26.937
2013,08,26.477
2013,09,26.933
2013,10,24.926
2013,11,21.094
2013,12,17.988
2014,01,17.373
2014,02,19.430
2014,03,23.823
2014,04,28.199
2014,05,30.065
2014,06,30.711
2014,07,27.844
2014,08,27.231
2014,09,26.665
2014,10,25.326
2014,11,21.960
2014,12,17.687
2015,01,17.047
2015,02,20.858
2015,03,23.985
2015,04,27.404
2015,05,30.905
2015,06,29.164
2015,07,27.787
2015,08,27.261
2015,09,27.442
2015,10,25.974
2015,11,22.651
2015,12,18.828
2016,01,18.209
2016,02,21.699
2016,03,25.826
2016,04,29.625
2016,05,30.812
2016,06,29.898
2016,07,27.240
2016,08,26.995
2016,09,26.827
2016,10,25.354
2016,11,21.613
2016,12,18.891
2017,01,17.812
2017,02,21.189
2017,03,24.661
2017,04,29.134
2017,05,31.044
2017,06,29.344
2017,07,27.298
2017,08,27.164
2017,09,27.314
2017,10,25.882
2017,11,21.622
2017,12,18.605
2018,01,17.677
2018,02,21.170
2018,03,25.610
2018,04,28.547
2018,05,30.746
2018,06,29.639
2018,07,27.358
2018,08,26.796
2018,09,26.658
2018,10,25.375
2018,11,22.174
2018,12,17.871
2019,01,17.154
2019,02,20.207
2019,03,24.349
2019,04,28.957
2019,05,31.017
2019,06,30.802
2019,07,27.867
2019,08,27.054
2019,09,26.623
2019,10,24.832
2019,11,22.409
2019,12,17.688
