year,month,average_month_temperature
1943,06,12.773
1943,07,14.270
1943,08,13.724
1943,09,11.852
1943,10,9.910
1943,11,6.115
1943,12,4.208
1944,01,5.834
1944,02,3.834
1944,03,5.306
1944,04,8.827
1944,05,9.969
1944,06,11.806
1944,07,14.370
1944,08,14.993
1944,09,11.189
1944,10,8.389
1944,11,5.661
1944,12,3.980
1945,01,.980
1945,02,6.666
1945,03,7.808
1945,04,8.712
1945,05,10.556
1945,06,12.709
1945,07,14.790
1945,08,14.175
1945,09,12.982
1945,10,10.729
1945,11,7.221
1945,12,5.186
1946,01,3.527
1946,02,5.569
1946,03,5.255
1946,04,8.656
1946,05,9.606
1946,06,11.770
1946,07,14.220
1946,08,12.920
1946,09,12.444
1946,10,8.871
1946,11,7.325
1946,12,3.334
1947,01,2.586
1947,02,-.766
1947,03,3.040
1947,04,7.487
1947,05,11.314
1947,06,13.366
1947,07,14.801
1947,08,16.468
1947,09,13.240
1947,10,10.032
1947,11,6.617
1947,12,4.989
1948,01,4.536
1948,02,4.633
1948,03,7.759
1948,04,8.049
1948,05,9.999
1948,06,12.038
1948,07,13.762
1948,08,13.139
1948,09,12.292
1948,10,9.084
1948,11,7.092
1948,12,5.514
1949,01,5.290
1949,02,5.599
1949,03,5.041
1949,04,8.760
1949,05,9.725
1949,06,13.094
1949,07,15.089
1949,08,14.740
1949,09,14.449
1949,10,10.610
1949,11,6.473
1949,12,5.244
1950,01,4.505
1950,02,4.874
1950,03,7.114
1950,04,6.617
1950,05,9.853
1950,06,14.086
1950,07,14.193
1950,08,13.854
1950,09,11.499
1950,10,8.797
1950,11,5.357
1950,12,1.553
1951,01,3.724
1951,02,3.521
1951,03,3.901
1951,04,5.962
1951,05,8.795
1951,06,12.063
1951,07,14.272
1951,08,13.274
1951,09,12.621
1951,10,9.198
1951,11,7.684
1951,12,5.310
1952,01,2.627
1952,02,3.756
1952,03,6.100
1952,04,8.380
1952,05,11.431
1952,06,12.384
1952,07,14.585
1952,08,14.123
1952,09,10.016
1952,10,8.270
1952,11,4.292
1952,12,3.357
1953,01,4.061
1953,02,4.727
1953,03,5.795
1953,04,6.351
1953,05,11.100
1953,06,12.711
1953,07,13.751
